TaskID,TaskAO,StationID,Team,Start,End,Duration
144,ENHDB1-0190,1,[38],63.19527396959406,65.23407455692852,2.038800587334457
77,AQHS00-0060,4,[19],66.6786085620808,67.96137552633475,1.2827669642539519
132,ENHDB1-0300,2,[22],73.15425816756881,75.17047172451143,2.016213556942617
74,AQHS00-0030,3,[91],62.399794436455714,63.36975238541316,0.9699579489574433
34,AFZG00-0110,4,"[53, 87, 32]",70.11401404165667,71.07294643020049,0.9589323885438148
162,ARWB00-0120,3,"[70, 81]",65.14599924129323,66.31781959780012,1.171820356506899
97,AJZY00-0280,4,[87],71.07294643020049,71.43621843311779,0.36327200291729866
40,AFZG00-0170,3,[70],66.31781959780012,66.81110314751781,0.4932835497176882
91,AJZY00-0220,5,[0],57.61221401500336,60.270655154088864,2.658441139085504
48,AWWB00-0010,4,"[18, 87]",71.43621843311779,72.19953836657955,0.7633199334617586
104,AEQS00-0020,2,[59],73.71777126946347,75.2204728371959,1.50270156773243
95,AJZY00-0260,3,[21],65.14599924129323,67.92717422577005,2.78117498447682
139,ENHDB1-0230,4,[19],67.96137552633475,69.50069584266143,1.5393203163266804
150,ENHSB1-0400,3,[35],59.79694798263738,61.98990575808742,2.19295777545004
62,AYWC00-1980,5,"[5, 42, 15]",69.26541613967937,74.39270835750948,5.127292217830103
146,ENHSB1-0170,3,[75],60.63562088807148,62.29861565189467,1.6629947638231926
122,EGYY00-0150,5,[42],74.39270835750948,76.61712465390511,2.2244162963956313
82,AQHS00-0110,4,[18],72.19953836657955,73.68404767535087,1.4845093087713224
59,AYHS00-0070,4,[19],69.50069584266143,73.94762115562955,4.446925312968119
72,ACZY00-0090,1,[93],62.32396709042933,63.356305001582584,1.032337911153256
38,AFZG00-0150,4,"[32, 87, 53, 19, 18]",73.94762115562955,74.51951765640811,0.5718965007785641
142,ENHDB1-0210,4,[53],74.51951765640811,76.35052122619805,1.8310035697899423
42,AKZY00-0030,5,[15],74.39270835750948,75.92640825783677,1.5336999003272922
78,AQHS00-0070,5,[29],67.63139944999173,69.12250272089278,1.4911032709010499
79,AQHS00-0080,3,[91],63.36975238541316,64.71925914509337,1.3495067596802173
108,AEQS00-0060,3,[70],66.81110314751781,67.40304343070063,0.5919402831828222
119,AGHS00-0120,4,"[18, 32]",74.51951765640811,76.84085500821901,2.3213373518108966
41,AKQS00-0020,2,[22],75.17047172451143,76.40260229087794,1.2321305663665072
159,ARWB00-0090,3,"[91, 81]",66.31781959780012,67.4030568692022,1.0852372714020788
61,AYZQ00-0090,2,[77],73.15425816756881,79.73248071237683,6.578222544808014
80,AQHS00-0090,4,[53],76.35052122619805,77.97808002226833,1.627558796070275
86,AQHS00-0150,5,[5],74.39270835750948,75.18767399065226,0.7949656331427803
88,AQQJ00-0170,5,"[0, 15]",75.92640825783677,79.53717439527986,3.6107661374430933
85,AQHS00-0140,5,"[15, 0]",79.53717439527986,80.60912056290888,1.0719461676290223
63,FYQJ00-1130,5,"[0, 15]",80.60912056290888,87.71781650529059,7.108695942381701
165,A-3,0,[],87.71781650529059,87.71781650529059,0.0
172,AJZY00-0390,1,"[40, 66]",87.71781650529059,88.72464878110233,1.006832275811746
180,AJCP00-0470,1,"[93, 12]",87.71781650529059,89.1561674752618,1.4383509699712107
181,AJCP00-0480,4,"[87, 19]",87.71781650529059,88.80801979143766,1.090203286147073
